# Fork-maintained patches for rayward-external/litellm
#
# Upstream (BerriAI/litellm) uses ARG-variable FROM in Dockerfiles.
# Our fork pins literal image@sha256 digests so Scorecard/OpenSSF does not flag them.
# Upstream syncs may revert to ARG-only FROM; daily-patch-verify detects and re-pins.
#
# Format: <file> | <grep_pattern_that_proves_patch_is_present> | <human_description>

Dockerfile            | FROM.*sha256:    | Digest-pinned base image (not ARG-variable FROM); this is the Dockerfile litellm-build-push.yml deploys (Scorecard PinnedDependenciesID)
backend/Dockerfile    | FROM.*sha256:    | Digest-pinned base image (not ARG-variable FROM)
gateway/Dockerfile    | FROM.*sha256:    | Digest-pinned base image (not ARG-variable FROM)
migrations/Dockerfile | FROM.*sha256:    | Digest-pinned base image (not ARG-variable FROM)
.github/workflows/codeql.yml        | timeout-minutes: 90                       | CodeQL analyze job timeout raised 30->90 min so python leg completes
.github/codeql/codeql-config.yml    | py/log-injection                          | Exclude CWE-117 query: taint explosion from pervasive logging; same scaling class as py/clear-text-logging-sensitive-data
.github/workflows/alert-bridge.yml  | workflow_dispatch                          | Alert bridge for code-scanning triage; re-apply after -X theirs syncs that wipe .github/workflows/
.github/workflows/alert-bridge.yml  | FORCE_JAVASCRIPT_ACTIONS_TO_NODE24         | Opt in to Node.js 24 runtime before GitHub's 2026-06-16 forced migration (upload-artifact@v4 is a Node 20 action)
.github/codeql/codeql-config.yml    | cookbook                                   | paths-ignore: cookbook/ and scripts/benchmark_* are example/benchmark code; excluded to prevent FP CodeQL alerts (py/reflective-xss #953, py/regex-injection #952, py/clear-text-storage #979 #980)
litellm/proxy/auth/auth_checks.py   | re\.escape\(allowed_model_pattern\)        | is_model_allowed_by_pattern: re.escape() the wildcard pattern before building the match regex, closing py/regex-injection (#1024). REMOVAL CONDITION: remove once upstream applies the same escape fix.
litellm/proxy/guardrails/guardrail_hooks/litellm_content_filter/content_filter.py | resolved category file path escapes categories_dir | _load_categories: realpath/commonpath containment re-check on category_file_path immediately before use, closing py/path-injection (#1025) as defense-in-depth alongside the existing category_name regex validation. REMOVAL CONDITION: remove once upstream applies an equivalent containment check.
.github/codeql/codeql-config.yml    | py/stack-trace-exposure                    | Exclude CWE-209 query: tracebacks only reach loggers, ProxyException.to_dict() never serializes a traceback field, CodeQL cannot distinguish log sinks from HTTP response sinks
.github/codeql/codeql-config.yml    | py/incomplete-url-substring-sanitization   | Exclude CWE-184 query: security-critical URL validation uses urlparse() tuple comparison; flagged startswith/endswith are non-security normalization (JWT heuristic, trailing-slash strip)
.github/codeql/codeql-config.yml    | py/request-without-cert-validation          | Exclude CWE-295 query: every httpx client resolves verify via get_ssl_verify()/get_ssl_configuration() (litellm/llms/custom_httpx/http_handler.py), defaulting to True and only disabled via explicit operator opt-in (SSL_VERIFY env var / litellm.ssl_verify / explicit param) for enterprise self-signed/internal-CA deployments; CodeQL cannot follow the dynamic default so it flags every call site
Dockerfile (ui-builder stage)        | FROM --platform=\$BUILDPLATFORM node:20\.18-alpine3\.20@sha256: | Literal digest pin for the ui-builder stage (was ARG-variable FROM \$UI_BUILD_IMAGE), closing PinnedDependencies #1009/#1020. Same pattern as the other stages in this file. REMOVAL CONDITION: remove once upstream pins this stage itself.
docker/Dockerfile.database            | FROM ghcr\.io/astral-sh/uv:0\.11\.7@sha256:   | Literal digest pin for uvbin/ui-builder/runtime stages (were ARG-variable FROM), closing PinnedDependencies #1010/#1011/#1012. REMOVAL CONDITION: remove once upstream pins these stages itself.
docker/Dockerfile.non_root            | FROM ghcr\.io/astral-sh/uv:0\.11\.7@sha256:   | Literal digest pin for uvbin/ui-builder stages (were ARG-variable FROM), closing PinnedDependencies #1013/#1014. REMOVAL CONDITION: remove once upstream pins these stages itself.
litellm-rust/crates/python-bridge/src/gil.rs        | py.detach(f)   | pyo3 0.29 removed Python::allow_threads (renamed Python::detach); RUSTSEC-2026-0176/0177 are only patched at pyo3 >=0.29.0, so we can't downgrade below the version that removed the old GIL API. REMOVAL CONDITION: remove when upstream litellm bumps pyo3 to >=0.29 and updates the bridge itself.
litellm-rust/crates/python-bridge/src/lib.rs        | Python::attach | pyo3 0.29 removed Python::with_gil (renamed Python::attach); same RUSTSEC-2026-0176/0177 constraint as gil.rs above. REMOVAL CONDITION: remove when upstream litellm bumps pyo3 to >=0.29 and updates the bridge itself.
litellm-rust/crates/ai-gateway/src/python/config.rs | Python::attach | pyo3 0.29 removed Python::with_gil (renamed Python::attach); same RUSTSEC-2026-0176/0177 constraint as gil.rs above. REMOVAL CONDITION: remove when upstream litellm bumps pyo3 to >=0.29 and updates the bridge itself.
.github/dependabot.yml | package-ecosystem: "uv" | Fork-only dependabot config covering every ecosystem the fork's security sweep scans (uv, pip for cookbook, npm for all 4 lockfile dirs, cargo for litellm-rust); upstream has none. REMOVAL CONDITION: remove/merge if upstream ever ships its own dependabot.yml that a sync would otherwise clobber.
tests/proxy_admin_ui_tests/ui_unit_tests/package.json | "ws": "8.21.0" | ws override bumped 8.20.1->8.21.0, closing GHSA-96hv-2xvq-fx4p (memory exhaustion DoS from tiny fragments). REMOVAL CONDITION: remove once upstream's own override (if any) is already >=8.21.0.
.github/workflows/create_daily_oss_branch.yml | permissions:\n  contents: read | Top-level contents: write reduced to read, closing Scorecard TokenPermissionsID (#1033); the only job is guarded `if: github.repository == 'BerriAI/litellm'` so it always skips on the fork and never needs the write. REMOVAL CONDITION: remove once upstream sets top-level permissions to contents: read itself.
litellm/proxy/management_endpoints/team_endpoints.py | Applied across all keys for this team\.\n    Example - update team TPM Limit | update_team's docstring documents mcp_rpm_limit (wording copied verbatim from new_team's existing line). UpdateTeamRequest gained the mcp_rpm_limit field upstream but update_team's docstring was never updated, so tests/documentation_tests/test_api_docs.py fails: it diffs a function's docstring against its request model's model_fields. Both the endpoint and the model are IDENTICAL to upstream, so this is upstream breakage, not a fork artifact — upstream's own CI misses it. NOTE the grep pattern is deliberately anchored on the following "Example - update team TPM Limit" line: new_team carries the same sentence, so matching the sentence alone would report this patch present even after a sync drops it. REMOVAL CONDITION: remove once upstream documents mcp_rpm_limit in update_team's docstring itself.
litellm/llms/anthropic/chat/transformation.py | _translate_legacy_thinking_for_adaptive_model | Fork-only legacy thinking.enabled -> adaptive translation (infers an output_config.effort from the legacy budget_tokens, so pre-existing budget_tokens-based callers keep working on adaptive-thinking models) plus its _legacy_thinking_budget_to_effort/_coerce_optional_int helpers and the transform_request call site. Every -X theirs sync so far has silently dropped this (restored three times now: commit 343d3008, the 2026-07-12 sync, and the 2026-07-16 sync); it never conflicts textually with upstream's edits to the surrounding transform_request body, so git's 3-way merge just drops it instead of flagging a conflict. Signatures must be re-checked against upstream's current _is_adaptive_thinking_model/_validate_effort_for_model signatures each time (upstream has added a custom_llm_provider parameter to both since this was first written) — do not copy-paste the old diff verbatim. REMOVAL CONDITION: remove once upstream ships equivalent legacy-thinking-to-adaptive translation itself.
